LYZ+PBS,,
Wavelength (nm),Intensity (a.u.),
300,8.460494995,
301.0700073,11.24223804,
302,12.40425014,
303.0700073,17.27677536,
304,19.7958889,
305.0700073,24.51455116,
306,28.15930748,
307.0700073,32.12931442,
308,35.30097198,
309.0700073,40.43812943,
310,43.86224365,
311.0700073,48.26690674,
312,51.78360367,
313.0700073,58.38298798,
314,63.72359848,
315.0700073,68.15008545,
316,71.55583191,
317.0700073,78.98789978,
318,83.02058411,
319.0700073,88.41310883,
320,96.36381531,
321.0700073,100.8164215,
322,104.6777267,
323.0700073,107.7450027,
324,114.4796143,
325.0700073,119.6110611,
326,120.8582764,
327.0700073,125.2314072,
328,133.9760895,
329.0700073,132.7588501,
330,137.1538544,
331.0700073,142.9329224,
332,144.0960693,
333.0700073,148.9585571,
334,148.7285309,
335.0700073,149.8507538,
336,151.5660553,
337.0700073,154.6660461,
338,156.3454132,
339.0700073,156.1025696,
340,160.5218964,
341.0700073,161.806778,
342,161.2366333,
343.0700073,160.1544952,
344,161.8457794,
345.0700073,160.9825134,
346,158.5871735,
347.0700073,160.0340118,
348,161.0908203,
349.0700073,158.1144104,
350,161.5877686,
351.0700073,155.8336792,
352,152.2489319,
353.0700073,153.0553284,
354,152.8893738,
355.0700073,146.8959961,
356,150.7067413,
357.0700073,146.1642914,
358,144.5145569,
359.0700073,140.1773682,
360,138.0783081,
361.0599976,134.3686066,
361.9599915,131.859848,
363.0299988,129.7976074,
363.9299927,128.3491058,
365,123.9883194,
366.0599976,118.9861069,
366.9599915,116.3826447,
368.0299988,115.3184738,
368.9299927,110.6902466,
370,108.8506165,
371.0700073,104.8391876,
372,104.058876,
373.0700073,101.9670486,
374,97.0082016,
375.0700073,92.68785858,
376,88.58873749,
377.0700073,84.51076508,
378,82.93881989,
379.0700073,80.16697693,
380,79.23722076,
381.0599976,74.09368896,
381.9599915,72.84737396,
383.0299988,69.32978058,
383.9299927,68.11307526,
385,64.28586578,
386.0599976,62.00902557,
386.9599915,60.85319901,
388.0299988,58.04769897,
388.9299927,57.08927536,
390,54.09900665,
391.0599976,52.34455109,
391.9599915,51.29365921,
393.0299988,48.56684494,
393.9299927,45.55444336,
395,44.43509674,
396.0599976,41.43162155,
396.9599915,40.10263824,
398.0299988,38.4684639,
398.9299927,37.35249329,
400,35.94141006,

LYZ+PBS,
LYZ+PBS
Collection Time: 3/3/2026 4:23:36 pm
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el02116112
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         400.00
Ex. Wavelength (nm)               280.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 3/3/2026 3:52:07 pm
Method Modifications:
Autoconvert Changed: 3/3/2026 4:10:14 pm, Old:None, New:Ascii with Log
Excitation Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 350.00, New: 280.00
Emission Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 400.00, New: 300.00
Stop Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 600.00, New: 400.00
Zero Mode Changed: 3/3/2026 4:10:22 pm, Old:OFF, New:Reading
Zero Mode Changed: 3/3/2026 4:10:22 pm, Old:Reading, New:ON
End Method Modifications

